age,gender,review,education,purchased
40,Female,good,school,No
40,Male,avg,PG,No
45,Male,poor,PG,No
48,Male,avg,school,No
47,Male,avg,PG,No
29,Male,avg,school,No
47,Male,avg,UG,Yes
29,Female,avg,PG,No
42,Male,avg,school,No
59,Male,good,PG,Yes
55,Male,good,UG,Yes
36,Male,poor,school,No
42,Male,good,PG,Yes
59,Female,avg,school,No
49,Female,avg,PG,No
65,Female,good,UG,Yes
28,Male,poor,PG,Yes
33,Female,poor,PG,Yes
50,Male,avg,school,Yes
32,Male,good,school,No
33,Female,poor,PG,No
59,Female,poor,school,No
52,Male,good,PG,No
23,Male,avg,UG,Yes
51,Male,poor,UG,No
55,Male,good,PG,Yes
21,Male,avg,UG,Yes
45,Male,good,school,Yes
18,Female,good,PG,No
52,Female,good,UG,Yes
59,Female,avg,PG,Yes
55,Male,avg,PG,No
55,Male,good,UG,No
20,Female,avg,PG,No
53,Female,avg,PG,No
24,Female,avg,PG,No
52,Male,poor,UG,Yes
62,Male,good,PG,No
54,Male,poor,UG,No
37,Male,poor,UG,No
28,Female,good,UG,No
18,Male,avg,school,Yes
49,Female,poor,UG,Yes
48,Female,good,school,Yes
65,Male,good,UG,No
44,Female,avg,UG,No
56,Female,avg,PG,Yes
30,Female,avg,school,No
51,Female,poor,UG,No
60,Female,avg,UG,No
56,Female,poor,UG,No
32,Female,avg,UG,Yes
49,Male,avg,school,No
55,Male,good,school,Yes
26,Female,poor,UG,Yes
38,Female,good,school,Yes
45,Female,poor,school,No
43,Female,avg,PG,No
19,Female,avg,PG,No
19,Female,good,UG,No
40,Female,poor,PG,Yes
46,Male,avg,school,No
39,Male,poor,school,Yes
30,Male,good,PG,Yes
26,Male,poor,UG,No
35,Male,poor,UG,No
22,Female,avg,school,No
52,Female,poor,PG,Yes
34,Female,avg,PG,No
36,Male,good,PG,Yes
39,Female,good,UG,Yes
63,Male,poor,PG,Yes
25,Female,poor,UG,No
27,Female,good,UG,Yes
43,Male,poor,PG,No
52,Male,avg,school,Yes
44,Female,avg,UG,No
39,Female,good,UG,Yes
33,Female,good,school,No
30,Male,avg,UG,No
41,Male,good,UG,No
51,Male,good,UG,Yes
45,Female,good,school,No
33,Female,good,PG,No
30,Female,avg,PG,No
51,Male,poor,school,No
65,Female,poor,school,Yes
19,Female,poor,PG,Yes
59,Female,good,PG,Yes
54,Male,good,UG,Yes
40,Male,good,UG,Yes
30,Female,good,school,No
54,Female,poor,PG,Yes
57,Female,avg,UG,Yes
29,Male,avg,UG,No
59,Female,poor,school,No
53,Male,avg,PG,Yes
24,Male,avg,PG,Yes
62,Female,avg,school,No
38,Female,good,school,Yes
25,Male,poor,school,No
32,Female,good,PG,Yes
55,Male,poor,PG,No
25,Female,avg,UG,No
24,Female,avg,UG,Yes
36,Male,avg,school,No
37,Female,poor,PG,Yes
42,Male,poor,UG,No
19,Male,good,UG,Yes
40,Male,avg,PG,No
37,Female,poor,UG,No
18,Male,poor,PG,Yes
27,Female,good,UG,No
51,Female,poor,PG,Yes
29,Female,good,UG,Yes
33,Female,avg,UG,No
62,Female,avg,school,No
60,Female,avg,PG,No
19,Female,avg,PG,Yes
30,Male,avg,UG,No
65,Male,good,UG,No
29,Male,poor,UG,Yes
37,Female,avg,UG,Yes
51,Male,good,PG,Yes
50,Female,avg,PG,No
19,Female,avg,PG,No
21,Female,good,UG,No
36,Male,good,PG,Yes
30,Male,poor,UG,No
18,Male,good,UG,No
31,Male,avg,school,No
61,Female,avg,PG,Yes
62,Female,poor,UG,No
18,Female,good,school,Yes
39,Female,poor,PG,Yes
30,Female,good,UG,Yes
58,Male,avg,school,No
61,Female,avg,PG,Yes
33,Female,poor,UG,No
27,Male,good,UG,No
35,Male,good,UG,Yes
62,Male,good,UG,Yes
46,Female,poor,UG,No
39,Male,avg,school,No
46,Male,poor,UG,Yes
21,Male,avg,school,No
63,Female,good,UG,Yes
19,Male,good,UG,No
55,Male,avg,PG,No
58,Female,good,school,Yes
23,Female,good,school,Yes
38,Male,good,PG,Yes
65,Female,poor,PG,No
41,Male,good,UG,Yes
54,Male,poor,PG,No
47,Male,avg,UG,Yes
43,Female,poor,school,No
23,Male,avg,school,No
28,Male,poor,UG,Yes
56,Male,avg,school,No
61,Male,poor,UG,Yes
18,Male,avg,PG,No
51,Male,avg,UG,Yes
21,Male,good,UG,No
65,Male,avg,UG,Yes
63,Male,poor,PG,Yes
63,Female,avg,UG,No
24,Male,avg,UG,No
50,Male,good,PG,No
57,Female,poor,school,Yes
30,Female,avg,PG,No
27,Male,avg,UG,Yes
54,Male,poor,PG,Yes
29,Female,avg,UG,Yes
31,Male,poor,school,No
29,Male,poor,school,No
59,Male,good,UG,Yes
44,Male,poor,PG,No
25,Male,avg,school,Yes
26,Female,avg,PG,Yes
30,Female,good,UG,No
32,Male,avg,school,No
40,Female,avg,UG,No
62,Male,avg,PG,No
32,Male,avg,school,No
18,Male,good,PG,No
21,Male,good,school,No
31,Male,poor,UG,No
65,Male,good,UG,Yes
32,Female,good,PG,Yes
57,Female,avg,school,Yes
48,Male,good,school,Yes
28,Female,good,school,No
24,Female,poor,PG,Yes
53,Male,good,PG,Yes
64,Male,good,PG,Yes
46,Female,avg,PG,Yes
41,Female,good,UG,No
29,Female,poor,school,Yes
53,Female,avg,school,No
